Артикул;Название;Цвет;Категория;Описание;Состав;Размер;Коллекция;Группа;Тема
0779/44/1370;Платье “Мечта”;голубое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/46/1370;Платье “Мечта”;голубое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/48/1370;Платье “Мечта”;голубое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/50/1370;Платье “Мечта”;голубое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/40/330;Платье “Мечта”;серое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/42/330;Платье “Мечта”;серое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/44/330;Платье “Мечта”;серое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/46/330;Платье “Мечта”;серое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/48/330;Платье “Мечта”;серое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/50/330;Платье “Мечта”;серое;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/40/898;Платье “Мечта”;зелёное;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/42/898;Платье “Мечта”;зелёное;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/44/898;Платье “Мечта”;зелёное;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/46/898;Платье “Мечта”;зелёное;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/48/898;Платье “Мечта”;зелёное;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0779/50/898;Платье “Мечта”;зелёное;Одежда/Платья;О такое платье может мечтать каждая женщина или девушка. Выполнена в стиле «фолк», с элементами вышивки по украинским народным мотивам. Силуэт прилегающий. По талии подрез и есть пояс, который завязывается бантом. Рукава и полочки отделаны двухцветной вышивкой. Юбка длинная со складами спереди и сзади. Длина рукава 57 см. Длина платья 126 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/42/101;Платье “Лили”;белое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/44/101;Платье “Лили”;белое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/46/101;Платье “Лили”;белое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/48/101;Платье “Лили”;белое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/50/101;Платье “Лили”;белое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/42/403;Платье “Лили”;коричневое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/44/403;Платье “Лили”;коричневое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/46/403;Платье “Лили”;коричневое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/48/403;Платье “Лили”;коричневое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/50/403;Платье “Лили”;коричневое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/42/753;Платье “Лили”;бирюзовое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/44/753;Платье “Лили”;бирюзовое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/46/753;Платье “Лили”;бирюзовое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/48/753;Платье “Лили”;бирюзовое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/50/753;Платье “Лили”;бирюзовое;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/42/999;Платье “Лили”;тёмно-синее;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/44/999;Платье “Лили”;тёмно-синее;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/46/999;Платье “Лили”;тёмно-синее;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/48/999;Платье “Лили”;тёмно-синее;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0791/50/999;Платье “Лили”;тёмно-синее;Одежда/Платья;Нарядное длинное платье в стиле «фолк». По рукавам и переду расположена вышивка цветов, которая сочетается с натуральным кружевом цвета платья. Верхняя часть платья имеет подрез ниже линии талии. Юбка платья длинная, имеет объемные склады спереди и сзади. Длина изделия по спинке 125 см. Длина рукава 45 см.;100% лён;;Лето 2017;Вышитая одежда;Цветы,Симфония цветов,Городской романс
0684/40/101;Платье “Роксолана”;белое;Одежда/Платья;Чрезвычайно романтическое женское платье, перед и рукава которого отделаны вышивкой и кружевом. Силуэт прилегающий, горловина круглой формы без воротника, рукава снизу собраны и заканчиваются манжетой. На спинке расположена застежка молния. По низу юбки расположены несколько рядов защипов между рядами кружева.Длина платья по спинке 131см. Длина рукава 45см.;100% лён;;Лето 2017;Вышитая одежда;Розы,Торжественное событие,Выпускной вечер
0684/42/101;Платье “Роксолана”;белое;Одежда/Платья;Чрезвычайно романтическое женское платье, перед и рукава которого отделаны вышивкой и кружевом. Силуэт прилегающий, горловина круглой формы без воротника, рукава снизу собраны и заканчиваются манжетой. На спинке расположена застежка молния. По низу юбки расположены несколько рядов защипов между рядами кружева.Длина платья по спинке 131см. Длина рукава 45см.;100% лён;;Лето 2017;Вышитая одежда;Розы,Торжественное событие,Выпускной вечер
0684/44/101;Платье “Роксолана”;белое;Одежда/Платья;Чрезвычайно романтическое женское платье, перед и рукава которого отделаны вышивкой и кружевом. Силуэт прилегающий, горловина круглой формы без воротника, рукава снизу собраны и заканчиваются манжетой. На спинке расположена застежка молния. По низу юбки расположены несколько рядов защипов между рядами кружева.Длина платья по спинке 131см. Длина рукава 45см.;100% лён;;Лето 2017;Вышитая одежда;Розы,Торжественное событие,Выпускной вечер
0684/46/101;Платье “Роксолана”;белое;Одежда/Платья;Чрезвычайно романтическое женское платье, перед и рукава которого отделаны вышивкой и кружевом. Силуэт прилегающий, горловина круглой формы без воротника, рукава снизу собраны и заканчиваются манжетой. На спинке расположена застежка молния. По низу юбки расположены несколько рядов защипов между рядами кружева.Длина платья по спинке 131см. Длина рукава 45см.;100% лён;;Лето 2017;Вышитая одежда;Розы,Торжественное событие,Выпускной вечер
0684/48/101;Платье “Роксолана”;белое;Одежда/Платья;Чрезвычайно романтическое женское платье, перед и рукава которого отделаны вышивкой и кружевом. Силуэт прилегающий, горловина круглой формы без воротника, рукава снизу собраны и заканчиваются манжетой. На спинке расположена застежка молния. По низу юбки расположены несколько рядов защипов между рядами кружева.Длина платья по спинке 131см. Длина рукава 45см.;100% лён;;Лето 2017;Вышитая одежда;Розы,Торжественное событие,Выпускной вечер
0684/40/584;Платье “Роксолана”;молочное;Одежда/Платья;Чрезвычайно романтическое женское платье, перед и рукава которого отделаны вышивкой и кружевом. Силуэт прилегающий, горловина круглой формы без воротника, рукава снизу собраны и заканчиваются манжетой. На спинке расположена застежка молния. По низу юбки расположены несколько рядов защипов между рядами кружева.Длина платья по спинке 131см. Длина рукава 45см.;100% лён;;Лето 2017;Вышитая одежда;Розы,Торжественное событие,Выпускной вечер
